ref_number,disclosure_group,title_en,title_fr,name,purpose_en,purpose_fr,start_date,end_date,destination_en,destination_fr,airfare,other_transport,lodging,meals,other_expenses,total,additional_comments_en,additional_comments_fr,owner_org,owner_org_title
T-2017-Q3-00006,SLE,"Assistant Deputy Minister, Market and Industry Services Branch","Sous-ministre adjoint, Direction générales des services à l'industrie et aux marchés",Fred Gorrell,To particiapte in the annual event organised by the Mexican Federation of Agriculture,Participer à l'événement annuel organisé par la Fédération mexicaine de l'agriculture,2017-09-21,2017-09-23,"Puebla, Mexico","Puebla, Mexique",992.7,0,173.17,0,,1165.87,AJE596153,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q3-00007,SLE,"Assistant Deputy Minister, Market and Industry Services Branch","Sous-ministre adjoint, Direction générales des services à l'industrie et aux marchés",Fred Gorrell,To attend as a panelist at the Alibaba Gateway 2017 event.,Participer en tant que panéliste à l'événement Alibaba Gateway 2017.,2017-09-24,2017-09-25,"Toronto, Ontario","Toronto, Ontario",616.39,96.4,304.69,161.7,,1179.18,AJE539889,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q3-00009,SLE,"Assistant Deputy Minister, Market and Industry Services Branch","Sous-ministre adjoint, Direction générales des services à l'industrie et aux marchés",Fred Gorrell,"To support the Minister at the Tri-National Accord Denver, attend the Halal Workshop in Vancouver and speak at the University of British Columbia.","Soutenir le ministre à l'Accord trinational Denver, participer à l'atelier Halal à Vancouver et présenter à l'Université de la Colombie-Britannique.",2017-10-17,2017-10-20,"Denver, Colorado, Vancouver, British Columbia","Denver, Colorado, Vancouver, Colombie-Britannique",1662.36,300.8,802.65,211.42,3,2980.23,AJE524128,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q3-00010,SLE,"Assistant Deputy Minister, Market and Industry Services Branch","Sous-ministre adjoint, Direction générales des services à l'industrie et aux marchés",Fred Gorrell,To support the Minister in China.,Soutenir le Ministre en Chine.,2017-11-11,2017-11-22,"Shanghai, Guangzhou, Beijing, China","Shanghai, Guangzhou, Pékin, Chine",6175.94,230.42,2831.63,1623.91,29.23,10891.13,AJE540592,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q2-00047,MPSES,Parliamentary Secretary Assistant,Adjoint du Secrétaire parlementaire,Michel-Antoine Renaud,To accompany the Parliamentary Secretary to an announcement at MacDonald College Campus of McGill University,Pour accompagner le secrétaire parlementaire à une annonce au Campus MacDonald College de l'Université McGill,2017-06-11,2017-06-12,"Montréal, QC","Montréal, QC",,83.83,184.42,97.7,,365.95,1900030998,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q2-00053,MPSES,Parliamentary Secretary Assistant,Adjoint du Secrétaire parlementaire,Michel-Antoine Renaud,"To support the Parliamentary Secretary at the Regional Food and Policy consultations in Coaticook, St-Hyacinthe and Bonaventure Québec","Appuyer le secrétaire parlementaire lors des consultations régionales sur les aliments et politiques à Coaticook, St-Hyacinthe et Bonaventure Québec",2017-08-15,2017-08-18,"Ste-Hyacinthe, QC, Campbelton and Edmunston, NB","Ste-Hyacinthe, QC, Campbelton and Edmunston, NB",,319.83,446.34,261.2,,1027.37,1900071892,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q3-00008,SLE,"Assistant Deputy Minister, Market and Industry Services Branch","Sous-ministre adjoint, Direction générales des services à l'industrie et aux marchés",Fred Gorrell,To attend and speak at the Agricultural Manufacturers of Canada  in Edmonton.,Présenter à l'union des producteurs agricoles à Edmonton.,2017-09-27,2017-09-28,"Edmonton, Alberta","Edmonton, Alberta",848.43,85.4,200.96,179,,1313.79,AJE501453,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q3-00011,SLE,"Assistant Deputy Minister, Science and Technology Branch","Sous-ministre adjoint, Direction générale des sciences et de la technologie",Brian Gray,Ivey Business School - Senior Public Sector Leader Progam.,Ivey Business School - Senior Public Sector Leader Progam.,2017-09-10,2017-09-15,"London, Ontario","London, Ontario",494.32,204.43,,121.85,,820.6,AJD962499,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q2-00033,SLE,Assistant Deputy Minister Programs Branch,Sous-ministre adjointe de la Direction générale des programmes,France Pégeot ,Winnipeg regional meeting ,Réunion régionale de Winnipeg,2017-06-06,2017-06-07,"Winnipeg, MB","Winnipeg, MB",949.01,103.88,140,161.7,,1354.59,AJF172989,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q2-00035,SLE,Assistant Deputy Minister Programs Branch,Sous-ministre adjointe de la Direction générale des programmes,France Pégeot ,Minister Outreach meeting in Guelph ,Réunion de sensibilisation du ministre à Guelph,2017-07-05,2017-07-06,"Guelph, ON","Guelph, ON",452.06,31.88,157.07,115.75,,756.76,AJF147527,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q2-00039,MPSES,Associate Deputy Minister,Sous-ministre déléguée,Nada Semaan,Director Education Program (DEP),Programme d'educaion de directeur,2017-06-18,2017-06-21,"Toronto, ON","Toronto, ON",285.07,40,901.38,312.65,,1539.1,,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q2-00040,MPSES,Associate Deputy Minister,Sous-ministre déléguée,Nada Semaan,Core Mandate - Meetings,Mandat de base - Réunions,2017-07-12,2017-07-14,"Vancouver, BC and Edmonton, Calgary, AB","Vancouver, CB et Edmonton, Calgary, AB",281.03,10,1401.39,428.4,,2120.82,,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q2-00045,MPSES,Parliamentary Secretary Assistant,Adjoint du Secrétaire parlementaire,Michel-Antoine Renaud,To accompany the Parliamentary Secretary to an announcement for Food Policy at Jean Talon Market,"
Pour accompagner le secrétaire parlementaire à une annonce pour la politique alimentaire à Jean Talon Market",2017-06-01,2017-06-03,"Montréal, Québec","Montréal, Québec",,132.99,296.32,115.75,,545.06,1900024143,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q2-00046,MPSES,Parliamentary Secretary Assistant,Adjoint du Secrétaire parlementaire,Michel-Antoine Renaud,To accompany the Parliamentary Secretary to an announcement with the Pork Producers of Quebec City,Pour accompagner le secrétaire parlementaire à une annonce avec les producteurs de porc de la ville de Québec,2017-06-08,2017-06-08,"Québec, QC","Québec, QC",501.69,364.26,,81.3,,947.25,1900030901,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q2-00066,MPSES,Policy Advisor,Conseillère en politiques,Sangeeta Lalli,To accompany the Minister to announce the launch of the Atlantic Trade and Investment Strategy and participate in a roundtable with the agriculture Sector from Atlantic Canada.,Pour accompagner le ministre pour annoncer le lancement de la Stratégie de commerce et d'investissement de l'Atlantique et participer à une table ronde avec le secteur de l'agriculture du Canada atlantique,2017-07-03,2017-07-04,"Saint-John, NB","Saint-John, NB",951.11,473.62,165.83,196.15,,1786.71,1900041905,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q2-00071,MPSES,Policy Advisor,Conseillère en politiques,Alison Porter,To accompany the Minister to announce the launch of the Atlantic Trade and Investment Strategy and participate in a Roundtable with the Agriculture Sector from Atlantic canada,Pour accompagner le ministre pour annoncer le lancement de la Stratégie de commerce et d'investissement de l'Atlantique et participer à une table ronde avec le secteur de l'agriculture du Canada atlantique,2017-07-03,2017-07-04,"St John, NB","St John, NB",1074.28,30,165.83,97.7,,1367.81,1900041902,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q3-00012,SLE,"Assistant Deputy Minister, Science and Technology Branch","Sous-ministre adjoint, Direction générale des sciences et de la technologie",Brian Gray,Saskatoon Research and Development Centre Outreach Visit.,Visite de sensibilisation au Centre de recherche et de développement de Saskatoon.,2017-09-19,2017-09-22,"Saskatoon, Saskatchewan","Saskatoon, Saskatchewan",757,137.53,579.66,312.65,,1786.84,AJD983641,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q3-00013,SLE,"Assistant Deputy Minister, Science and Technology Branch","Sous-ministre adjoint, Direction générale des sciences et de la technologie",Brian Gray,Tetrapartite.,Tétrapartite.,2017-10-14,2017-10-19,"Bedfordshire, United Kingdom ","Bedfordshire, Royaume-Uni",7467.44,189.96,788.88,345.45,,8791.73,AJD947146,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q3-00014,SLE,"Assistant Deputy Minister, Science and Technology Branch","Sous-ministre adjoint, Direction générale des sciences et de la technologie",Brian Gray,Research and Development Centre Outreach Visits. ,Visite de sensibilisation aux Centre de recherche et de développement. ,2017-10-30,2017-11-01,"St-Jean-sur-Richelieu, Sherbrooke, St-Hyacinthe, Quebec","St-Jean-sur-Richelieu, Sherbrooke, St-Hyacinthe, Québec",,353.58,298.69,269.75,,922.02,AJD901804,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q3-00015,SLE,"Assistant Deputy Minister, Science and Technology Branch","Sous-ministre adjoint, Direction générale des sciences et de la technologie",Brian Gray,G20 Germany 2017 - Meeting of Agricultural Chief Scientists.,G20 Germany 2017 - Meeting of Agricultural Chief Scientists.,2017-11-11,2017-11-16,"Potsdam, Germany","Potsdam, Allemagne",5937.1,280.39,661.32,461.83,,7340.64,AJD953141,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q3-00016,SLE,"Assistant Deputy Minister, Science and Technology Branch","Sous-ministre adjoint, Direction générale des sciences et de la technologie",Brian Gray,Agassiz Research and Development Centre Outreach Visit.,Visite de sensibilisation au Centre de recherche et de développement de Agassiz.,2017-11-28,2017-12-01,"Agassiz, British Columbia","Agassiz, Colombie-Britannique",1265.91,316.61,346.46,287.05,,2216.03,AJD970109,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q3-00017,SLE,Chief Information Officer,Dirigeant principal de l'information,Michel Lessard,Gartner Symposium,Symposium Gartner,2017-10-01,2017-10-06,"Orlando, Florida","Orlando, Floride",1062.81,75.75,2651.33,381.1,,4170.99,AJE411610,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q3-00021,SLE,"Assistant Deputy Minister, Strategic Policy Branch","Sous-ministre adjoint, Direction générale des politiques stratégiques",Tom Rosser,To attend Policy Food Engagement Sessions.,Pour assister au séances d'engagement à propos d'une politique alimentaire.,2017-09-04,2017-09-09,"Vancouver, British Columbia, Winnipeg, Manitoba, Yellowknife, Northwest Territories","Vancouver, Colombie-Britannique Winnipeg, Manitoba, Yellowknife, Territoires du Nord-Ouest",3896.79,264.61,869.56,625.6,,5656.56,AJE615347,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q3-00023,SLE,"Assistant Deputy Minister, Strategic Policy Branch","Sous-ministre adjoint, Direction générale des politiques stratégiques",Tom Rosser,To attend the First Nations Agriculture Forum.,Pour assister au Forum d'agriculture des Premières Nations.,2017-10-17,2017-10-19,"Kelowna, British Columbia","Kelowna, Colombie-Britannique",3419.98,115.8,424.38,203.7,,4163.86,AJE615347,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q3-00027,SLE,Associate Assistant Deputy Minister,Sous-ministre adjoint délégué,Gilles Saindon,"Outreach at the Research and Development Center, all staff meeting and meeting with Provincial Counterparts.","Visite de sensibilisation au Centre de recherche et développement, réunions avec tous le personnel et réunions avec des collègues du gouvernment provincial.",2017-10-04,2017-10-06,"Regina, Saskatchewan","Régina, Saskatchewan",786.29,172,340.7,241.5,,1540.49,AJD907498,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q3-00045,MPSES,Parliamentary Secretary Assistant,Adjoint du Secrétaire parlementaire,Michel-Antoine Renaud,"To accompany the Parliamentary Secretary to an announcement for the Inauguration and visit of the new facilities at the University Laval Agronomy Station in Saint - Augustin. Announcement for Canadian Agricultural Adaptation. Meeting with the Quebec Cranberry Growers' Association, Visit a Cranberry Farm.","Pour accompagner le secrétaire parlementaire à une annonce d'une Inauguration et la visite des nouvelles installations de la Station Agronomique à l'Université Laval Ó Saint - Augustin. Une annonce pour l'adaptation agricole Canadienne. Rencontre avec l'Association des Producteurs de Canneberges de Québec, Visite d'une Ferme de Canneberges. ",2017-10-10,2017-10-13,"Trois-Rivières, Quebec","Trois-Rivières, Québec",,274.98,240.16,203.3,34.51,752.95,1900092520,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q3-00046,MPSES,Parliamentary Secretary Assistant,Adjoint du Secrétaire parlementaire,Michel-Antoine Renaud,"To accompany the Parliamentary Secretary  Gala Saturne - honoring outstanding women in agriculture & Congrès de l'érable 2017 - North American Maple Syrup industry annual meeting in Lévis, Quebec.","Pour accompagner le secrétaire parlementaire au Gala Saturne - honorer des femmes exceptionnelles en agriculture et Congrès de l'érable 2017 - Réunion annuelle de l'industrie du sirop d'érable Nord-Américain à Lévis, Québec.",2017-10-21,2017-10-24,"Lévis, Quebec","Lévis, Québec",,249.56,221.34,288.85,5.6,765.35,1900092523,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q3-00049,MPSES,Parliamentary Secretary,Secrétaire parlementaire,Jean-Claude Poissant,"To attend an announcement for the inauguration and visit of the new facilities at the University Laval Agronomy Station in Saint - Augustin. Announcement for Canadian Agricultural Adaptation. Meeting with the Quebec Cranberry Growers' Association, visit a Cranberry Farm.","Participer à une annonce d'une Inauguration et la visite des nouvelles installations de la Station Agronomique à l'Université Laval à Saint - Augustin. Une annonce pour l'adaptation agricole Canadienne. Rencontre avec l'Association des Producteurs de Canneberges du Québec, Visite d'une Ferme de Canneberges. ",2017-10-12,2017-10-13,"Trois-Rivières, Quebec","Trois-Rivières, Québec",,,105.92,119.75,,225.67,1900092514,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q3-00050,MPSES,Parliamentary Secretary,Secrétaire parlementaire,Jean-Claude Poissant,"To attend the Gala Saturne - honoring outstanding women in agriculture & Congrès de l'érabre 2017 - North American Maple Syrup industry annual meeting in Levis, Quebec.","Assister au Gala Saturne - honorer des femmes exceptionnelles en agriculture et Congrès de l'érable 2017 - Réunion annuelle de l'industrie du du sirop d'érable Nord-Américain à Lévis, Québec",2017-10-21,2017-10-23,"Lévis, Quebec","Lévis, Québec",,,221.34,288.85,,510.19,1900092517,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q3-00052,MPSES,Chief of Staff,Chef de cabinet,Mary Jean McFall,"To Accompany the Minister to the National Association of States Department of Agriculture Annual meeting in New Orleans, Louisiana. ","Accompagner le ministre à la réunion annuelle du ministère de l'Agriculture de la National Association of States à la Nouvelle-Orléans, en Louisiane.",2017-09-12,2017-09-16,"New Orleans, Louisiana","Nouvelle-Orleans, Louisiane",2137,23,982.37,454.24,335.2,3931.81,1900087373,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q3-00056,MPSES,Minister,Ministre,Lawrence MacAulay,"To attend the National Association of State Departments of Agriculture annual Meeting in New Orleans, Louisiana.","Assister à l'assemblée annuelle de l'Association nationale des ministères de l'état de l'agriculture à la Nouvelle-Orléans, en Louisiane.",2017-09-12,2017-09-16,"New Orleans, Louisiana","Nouvelle-Orleans, Louisiane",2886.35,,982.37,437.09,,4305.81,1900079988,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2018-Q1-00040,SLE,Deputy Minister,Sous-Ministre,Chris Forbes,Deputy Minister’s mission to Brussels ,Mission du sous-ministre à Bruxelles,2018-04-21,2018-04-25,"Brussels, Belgium","Bruxelles, Belgique",2106,0,1647.16,182.64,0,3935.8,,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q3-00078,MPSES,Communications Advisor,Conseiller en communications,Oliver Anderson,To accompany the Minister to The Royal Winter Fair.,Accompagner le Ministre à la Foire Royal d'Hiver.,2017-11-02,2017-11-05,"Toronto, Ontario","Toronto, Ontario",623.19,,174,119.95,,917.14,1900092864,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q3-00060,MPSES,Minister,Ministre,Lawrence MacAulay,Travel for the Agriculture and Agri-Food  ministerial Mission to China.,Voyage pour la mission ministérielle d'Agriculture et Agroalimentaire en Chine.,2017-11-10,2017-11-22,"Beijing,China","Pékin,Chine",6909.34,,3039.93,1741.06,,11690.33,1900099643,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q3-00064,MPSES,Director of Communications,Directeur des communications,Guy Gallant,To accompany the Minister to the National Association of State Departments of Agriculture Annual Meeting in New Orleans.,Pour accompagner le ministre à l'assemblée annuelle de l'Association nationale des ministères de l'agriculture à la Nouvelle-Orléans.,2017-09-13,2017-09-16,"New Orleans, Louisiana","Nouvelle-Orleans, Louisiane",1211.5,,863.72,437.09,335.2,2847.51,1900079995,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q3-00066,MPSES,Director of Communications,Directeur des communications,Guy Gallant,Passport's pictures.,Photos de passeport.,2017-10-16,2017-10-16,,,,,,,76.84,76.84,1900090560,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q3-00068,MPSES,Director of Communications,Directeur des communications,Guy Gallant,Travel for the Agriculture and Agri-Food Canada Ministerial Mission to China.,Voyage pour la mission ministérielle d'Agriculture et Agrioalimentaire Canada en Chine.,2017-11-10,2017-11-23,"Beijing, China","Pékin, Chine",6909.34,,2962.94,1741.06,,11613.34,1900100731,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2018-Q2-00001,MPSES,Minister,Ministre,Lawrence MacAulay,"For the Quebec, New Brunswick, and Nova Scotia outreaches","Pour le Québec, le Nouveau-Brunswick et la Nouvelle-Écosse",2018-06-25,2018-06-29,"Sherbrooke Quebec, Montreal Quebec, Fredericton New Brunswick, Halifax Nova Scotia","Sherbrooke Québec, Montréal Québec, Fredericton Nouveau-Brunswick, Halifax Nouvelle-Écosse",1710.28,119.69,620.79,366.1,0,2816.86,,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2018-Q2-00002,MPSES,Minister,Ministre,Lawrence MacAulay,"Ontario outreach announcements in St. Ann's, Simcoe, Scotland area, St. Catharines, and Niagara on the Lake, Ontario","Annonces de sensibilisation de l'Ontario dans la région de St. Ann's, Simcoe, en Écosse, à St. Catharines et à Niagara-on-the-Lake, en Ontario",2018-07-02,2018-07-04,"St. Ann's, Simcoe, Scotland area, St. Catharines, and Niagara on the Lake, Ontario","Région de St. Ann 's, Simcoe, Écosse, St. Catharines et Niagara-on-the-Lake, Ontario",1629.2,50.78,449.34,225.5,0,2354.82,,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q3-00047,MPSES,Director of Policy,Directrice de la politique,Alison Porter,To support the Minister on the Northwest Territories outreach.,Appuyer le Ministre sur la portée des Territoires du Nord-Ouest.,2017-09-07,2017-09-09,"Yellowknife, Northwest Territories","Yellowknife, Territoires du Nord-Ouest",1942.87,63.18,166.95,196.15,,2369.15,1900082846,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q3-00054,MPSES,Minister,Ministre,Lawrence MacAulay,Food Policy for Canada - Regional Consultations in Vancouver and in Yellowknife. Tour of University of British Columbia Farm.,Politique alimentaire pour le Canada - Consultations régionales à Vancouver et à Yellowknife. Visite de la ferme de l'Université de la Colombie-Britannique.,2017-09-04,2017-09-09,"Vancouver, British Columbia; Yellowknife, Northwest Territories; Edmonton, Alberta","Vancouver, Colombie-Britannique; Yellowknife, Territoires du Nord-Ouest; Edmonton, Alberta",3677.98,25.97,556.84,313.55,,4574.34,1900083451,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q2-00002,SLE,Assistant Deputy Minister Corporate Management Branch,Sous-ministre adjoint Direction générale de la gestion intégrée,Pierre Corriveau,National Public Service Week and Awards Ceremony 2017. Staff Meeting,Semaine Nationale de la Fonction publique et cérémonie de remise de prix. Réunion du personel.,2017-06-14,2017-06-17,"Regina and Swift Current, Saskatchewan","Régina et Swift Current, Saskatchewan",769.16,82.3,408.11,307.15,,1566.72,AJD365196,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q2-00003,SLE,Assistant Deputy Minister Science and Technology Branch,Sous-ministre adjoint Direction générale des sciences et de la technologie,Brian Gray,Outreach visit Brandon and Morden Research and Development Center,Visite de sensibilisation au Centre de recherche et de développement de Brandon et Morden,2017-06-07,2017-06-09,"Brandon and Morden, MB "," Brandon et Morden, MB",666.73,105.63,227.73,179.9,,1179.99,AJD976591,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q2-00004,SLE,Assistant Deputy Minister Science and Technology Branch,Sous-ministre adjoint Direction générale des sciences et de la technologie,Brian Gray,Outreach visit Guelph and Vineland Research and Development Center,Visite de sensibilisation au Centre de recherche et de développement de Guelph et Vineland,2017-06-12,2017-06-16,"Guelph and Vineland, ON","Guelph et Vineland, ON",408.55,318.72,610.76,358.75,,1696.78,AJD986650,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q2-00005,SLE,Assistant Deputy Minister Science and Technology Branch,Sous-ministre adjoint Direction générale des sciences et de la technologie,Brian Gray,Outreach visit Harrow Research and Development Center and  presentation at Soy Canada event,Visite de sensibilisation au Centre de recherche et de développement de Harrow et présentation à l'évènement de Soy Canada,2017-06-19,2017-06-21,"Harrow, ON","Harrow, ON",803.62,254.3,240,179.9,,1477.82,AJD928339,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q2-00017,SLE,Assistant Deputy Minister Strategic Policy Branch,Sous ministre adjoint des Politiques stratégiques,Tom Rosser,To attend a meeting of the Atlantic Growth Summit,Pour assister à une réunion au Sommet de la croissance pour l'Atlantique,2017-06-28,2017-06-30,"Charlottetown, PEI","Charlottetown, L’Î-P-É",1020.76,196.31,329.3,278.2,,1824.57,AJE680566,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q2-00006,SLE,Assistant Deputy Minister Science and Technology Branch,Sous-ministre adjoint Direction générale des sciences et de la technologie,Brian Gray,Outreach visit St-John's Research and Development Center,Visite de sensibilisation au Centre de recherche et de développement de St-John's,2017-07-11,2017-07-13,"St-John's, NFLD","St-John's, TN",716.26,194.37,416.5,232.25,,1559.38,AJD927948,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q3-00018,SLE,"Assistant Deputy Minister, Programs Branch","Sous-ministre adjointe, Direction générale des programmes ",France Pégeot,Montreal  Regional Meeting. ,Montréal réunion régionale.,2017-10-04,2017-10-05,"Montreal, Quebec","Montréal, Québec",,303.17,236.82,167.3,,707.29,,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q2-00007,SLE,Assistant Deputy Minister Science and Technology Branch,Sous-ministre adjoint Direction générale des sciences et de la technologie,Brian Gray,Outreach visit Lacombe Research and Development Center,Visite de sensibilisation au Centre de receherche de Lacombe,2017-08-09,2017-08-11,"Lacombe, BC","Lacombe, CB",959.85,197.81,316.08,179.9,,1653.64,AJD972596,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q2-00008,SLE,Assistant Deputy Minister Science and Technology Branch,Sous-ministre adjoint Direction générale des sciences et de la technologie,Brian Gray,Canadian Beef Industry Conference ,Conférence de l'insdutrie de boeuf canadien ,2017-08-14,2017-08-17,"Calgary, AB","Calgary, AB",,,,,131.25,131.25,AJD956647,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q2-00009,SLE,Assistant Deputy Minister Science and Technology Branch,Sous-ministre adjoint Direction générale des sciences et de la technologie,Brian Gray,Summit on Canadian Soil Health 2017 ,Sommet sur la santé de sol canadien 2017 ,2017-08-22,2017-08-24,"Guelph, ON","Guelph, ON",418.16,183.45,314.14,133.05,,1048.8,AJD938546,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q2-00042,MPSES,Deputy Minister,Sous-ministre,Chris Forbes,Federal Provincial and Territorial Annual Agricultural Minister's meeting,"Réunion annuelle des ministres fédérale, provinciale et territoriale de l'Agriculture.",2017-07-18,2017-07-21,"St-John's, NL","St-John's, TN",1282.18,35.25,900.83,127.1,350,2695.36,,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q2-00010,SLE,Associate Assistant Deputy Minister Science and Technology Branch,Sous-ministre adjoint délégué Sciences et technologie,Gilles Saindon,Outreach at the Research and Development Center. All Staff meeting and meetings with industry.,Visite de sensibilisation au Centre de recherche et développement.  Réunions avec tous le personnel et réunions avec l'industrie.,2017-05-31,2017-06-02,"St John's, NL","St John, TN",779.5,69,416.5,249.4,,1514.4,AJD9921203,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q2-00011,SLE,Associate Assistant Deputy Minister Science and Technology Branch,Sous-ministre adjoint délégué Sciences et technologie,Gilles Saindon,Branch Executive Committee meeting and all staff meeting.,Réunion du Comité exécutif de la direction générale et rencontre de tout le personnel.,2017-06-12,2017-06-14,"Guelph, ON","Guelph, ON",429.68,81.05,361.6,207.8,,1080.13,AJD996153,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q2-00012,SLE,Associate Assistant Deputy Minister Science and Technology Branch,Sous-ministre adjoint délégué Sciences et technologie,Gilles Saindon,Meeting with Genome Quebec. Outreach at the Research and Development Center. All Staff meeting and meetings with industry.,Rencontre avec Génome Québec. Visite de sensibilisation au Centre de recherche et développement. Réunions avec tous le personnel et réunions avec l'industrie.,2017-07-25,2017-07-28,"Montreal, St-Jean-sur-Richelieu St-Hyacinthe, QC","Montreal, St-Jean-sur-Richelieu St-Hyacinthe, QC",0,132.19,266.56,225.85,,624.6,AJD966680,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
T-2017-Q2-00013,SLE,Associate Assistant Deputy Minister Science and Technology Branch,Sous-ministre adjoint délégué Sciences et technologie,Gilles Saindon,"Outreach at the Research and Development Center, All Staff meeting and meetings with industry","Visite de sensibilisation au Centre de recherche et développement, réunions avec tous le personnel et réunions avec l'industrie",2017-08-02,2017-08-04,"Charlottetown, PEI","Charlottetown, L’Î-P-É",674.34,169.2,424.06,243.9,,1511.5,AJD959719,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
